IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.226.94,443,443,true,FRA,Europe,Frankfurt,276,5.04
141.147.71.173,443,443,true,FRA,Europe,Frankfurt,278,5.01
143.47.234.7,443,443,true,FRA,Europe,Frankfurt,275,4.97
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,89,4.92
138.3.253.140,8080,8080,false,FRA,Europe,Frankfurt,246,4.76
155.248.196.123,443,443,true,YVR,North America,Vancouver,199,4.67
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,209,4.57
143.47.234.203,443,443,true,FRA,Europe,Frankfurt,282,4.56
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,87,4.46
129.146.213.36,80,443,true,LAX,North America,Los Angeles,240,4.44
146.235.219.98,443,443,true,SJC,North America,San Jose,182,4.42
152.67.148.199,443,443,true,FRA,Europe,Frankfurt,281,4.30
152.67.139.4,443,443,true,FRA,Europe,Frankfurt,282,4.30
192.18.139.229,8443,443,true,SJC,North America,San Jose,195,4.29
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,252,4.24
155.248.202.141,443,443,true,SJC,North America,San Jose,186,4.21
141.147.14.245,443,443,true,FRA,Europe,Frankfurt,252,4.20
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,316,4.17
132.145.66.209,443,443,true,FRA,Europe,Frankfurt,286,4.17
130.61.69.14,443,443,true,FRA,Europe,Frankfurt,249,4.15
84.235.171.235,443,443,true,FRA,Europe,Frankfurt,340,4.15
143.47.243.144,8443,443,true,LHR,Europe,London,260,4.11
152.70.48.18,443,443,true,FRA,Europe,Frankfurt,313,4.10
130.61.135.88,443,443,true,FRA,Europe,Frankfurt,253,4.09
193.123.62.187,443,443,true,FRA,Europe,Frankfurt,319,4.08
158.180.15.9,443,443,true,FRA,Europe,Frankfurt,259,4.08
140.238.158.238,443,443,true,YYZ,North America,Toronto,297,4.05
152.70.54.164,443,443,true,FRA,Europe,Frankfurt,255,4.02
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,246,4.02
89.168.118.160,443,443,true,FRA,Europe,Frankfurt,266,3.99
130.61.69.83,443,443,true,FRA,Europe,Frankfurt,246,3.96
138.2.169.14,443,443,true,FRA,Europe,Frankfurt,320,3.95
141.148.234.99,443,443,true,FRA,Europe,Frankfurt,334,3.91
141.148.229.217,443,443,true,FRA,Europe,Frankfurt,325,3.90
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,309,3.89
141.148.235.155,443,443,true,FRA,Europe,Frankfurt,365,3.89
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,269,3.89
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,249,3.87
144.24.182.32,443,443,true,FRA,Europe,Frankfurt,292,3.86
158.101.214.60,443,443,true,FRA,Europe,Frankfurt,331,3.86
141.144.203.202,443,443,true,FRA,Europe,Frankfurt,260,3.85
129.146.248.140,443,443,true,LAX,North America,Los Angeles,177,3.83
138.2.157.146,443,443,true,FRA,Europe,Frankfurt,323,3.83
141.147.73.100,443,443,true,FRA,Europe,Frankfurt,301,3.83
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,246,3.82
